\connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': **************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): n
Fetching schema names for autocompletion... Press ^C to stop.
Your MySQL connection id is 19
Server version: 8.0.22 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases
                               -> ;
+--------------------+
| Database           |
+--------------------+
| hola               |
| information_schema |
| mysql              |
| performance_schema |
| sakila             |
| sys                |
| world              |
+--------------------+
7 rows in set (0.0013 sec)
 MySQL  localhost:3306 ssl  SQL > use sakila
Default schema set to `sakila`.
Fetching table and column names from `sakila` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  sakila  SQL > show tables;
+----------------------------+
| Tables_in_sakila           |
+----------------------------+
| actor                      |
| actor_info                 |
| address                    |
| category                   |
| city                       |
| country                    |
| customer                   |
| customer_list              |
| film                       |
| film_actor                 |
| film_category              |
| film_list                  |
| film_text                  |
| inventory                  |
| language                   |
| nicer_but_slower_film_list |
| payment                    |
| rental                     |
| sales_by_film_category     |
| sales_by_store             |
| staff                      |
| staff_list                 |
| store                      |
+----------------------------+
23 rows in set (0.0020 sec)
 MySQL  localhost:3306 ssl  sakila  SQL > select * fron customer;
ERROR: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'fron customer' at line 1
 MySQL  localhost:3306 ssl  sakila  SQL > select * from customer;
+-------------+----------+-------------+--------------+------------------------------------------+------------+--------+---------------------+---------------------+
| customer_id | store_id | first_name  | last_name    | email                                    | address_id | active | create_date         | last_update         |
+-------------+----------+-------------+--------------+------------------------------------------+------------+--------+---------------------+---------------------+
|           1 |        1 | MARY        | SMITH        | MARY.SMITH@sakilacustomer.org            |          5 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           2 |        1 | PATRICIA    | JOHNSON      | PATRICIA.JOHNSON@sakilacustomer.org      |          6 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           3 |        1 | LINDA       | WILLIAMS     | LINDA.WILLIAMS@sakilacustomer.org        |          7 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           4 |        2 | BARBARA     | JONES        | BARBARA.JONES@sakilacustomer.org         |          8 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           5 |        1 | ELIZABETH   | BROWN        | ELIZABETH.BROWN@sakilacustomer.org       |          9 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           6 |        2 | JENNIFER    | DAVIS        | JENNIFER.DAVIS@sakilacustomer.org        |         10 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           7 |        1 | MARIA       | MILLER       | MARIA.MILLER@sakilacustomer.org          |         11 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           8 |        2 | SUSAN       | WILSON       | SUSAN.WILSON@sakilacustomer.org          |         12 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|           9 |        2 | MARGARET    | MOORE        | MARGARET.MOORE@sakilacustomer.org        |         13 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          10 |        1 | DOROTHY     | TAYLOR       | DOROTHY.TAYLOR@sakilacustomer.org        |         14 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          11 |        2 | LISA        | ANDERSON     | LISA.ANDERSON@sakilacustomer.org         |         15 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          12 |        1 | NANCY       | THOMAS       | NANCY.THOMAS@sakilacustomer.org          |         16 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          13 |        2 | KAREN       | JACKSON      | KAREN.JACKSON@sakilacustomer.org         |         17 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          14 |        2 | BETTY       | WHITE        | BETTY.WHITE@sakilacustomer.org           |         18 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          15 |        1 | HELEN       | HARRIS       | HELEN.HARRIS@sakilacustomer.org          |         19 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          16 |        2 | SANDRA      | MARTIN       | SANDRA.MARTIN@sakilacustomer.org         |         20 |      0 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          17 |        1 | DONNA       | THOMPSON     | DONNA.THOMPSON@sakilacustomer.org        |         21 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          18 |        2 | CAROL       | GARCIA       | CAROL.GARCIA@sakilacustomer.org          |         22 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          19 |        1 | RUTH        | MARTINEZ     | RUTH.MARTINEZ@sakilacustomer.org         |         23 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          20 |        2 | SHARON      | ROBINSON     | SHARON.ROBINSON@sakilacustomer.org       |         24 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          21 |        1 | MICHELLE    | CLARK        | MICHELLE.CLARK@sakilacustomer.org        |         25 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
|          22 |        1 | LAURA       | RODRIGUEZ    | LAURA.RODRIGUEZ@sakilacustomer.org       |         26 |      1 | 2006-02-14 22:04:36 | 2006-02-15 05:57:20 |
